university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,English,3 Years,A-Levels: BBB including English Literature or Language. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/english/english-ba
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,English and History,3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/english/english-and-history-ba
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,Film Studies,3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/arts-english-and-languages/film-studies-ba
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,Music,3 Years,A-Levels: BBB. Audition/portfolio may be required. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/arts-english-and-languages/music-ba
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,Drama,3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/arts-english-and-languages/drama-ba
Queen's University Belfast,Belfast,"School of Arts, English and Languages",BA,Modern Languages,4 Years,A-Levels: BBB including a relevant language at AS/A-Level or demonstrated proficiency. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/arts-english-and-languages/modern-languages-ba
Queen's University Belfast,Belfast,"School of History, Anthropology, Philosophy and Politics",BA,History,3 Years,A-Levels: BBB including History preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/history-anthropology-philosophy-politics/history-ba
Queen's University Belfast,Belfast,"School of History, Anthropology, Philosophy and Politics",BA,Politics,3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/history-anthropology-philosophy-politics/politics-ba
Queen's University Belfast,Belfast,"School of History, Anthropology, Philosophy and Politics",BA,Philosophy,3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/history-anthropology-philosophy-politics/philosophy-ba
Queen's University Belfast,Belfast,"School of History, Anthropology, Philosophy and Politics",BA,"Philosophy, Politics and Economics",3 Years,A-Levels: BBB. IB: 26 points.,IELTS 6.0 overall (min 5.5 in each component),"• NI/ROI: £4,985/year
• GB: £9,535/year
• International: £22,400/year",29-Jan-2026 (UCAS); International students: 30-Jun-2026,https://www.qub.ac.uk/courses/undergraduate/arts-humanities-social-sciences/history-anthropology-philosophy-politics/philosophy-politics-and-economics-ba
