university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Leeds,Leeds,School of History (AHC),BA,Ancient History BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/i988/ancient-history-ba
University of Leeds,Leeds,School of History (AHC),BA,Ancient History and History BA,3 Years,A-Levels: AAB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g676/ancient-history-and-history-ba
University of Leeds,Leeds,School of History (AHC),BA,Ancient History and Philosophy BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g678/ancient-history-and-philosophy-ba
University of Leeds,Leeds,School of History (AHC),BA,History BA,3 Years,A-Levels: AAB | IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g674/history-ba
University of Leeds,Leeds,School of History (AHC),BA,History and English BA,3 Years,A-Levels: AAB | IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g684/history-and-english-ba
University of Leeds,Leeds,School of History (AHC),BA,History and Philosophy BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g688/history-and-philosophy-ba
University of Leeds,Leeds,School of History (AHC),BA,History and Politics BA,3 Years,A-Levels: AAB | IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g686/history-and-politics-ba
University of Leeds,Leeds,School of History (AHC),BA,History and Sociology BA,3 Years,A-Levels: AAB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g687/history-and-sociology-ba
University of Leeds,Leeds,School of English (AHC),BA,English BA,3 Years,A-Levels: AAB | IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g650/english-ba
University of Leeds,Leeds,School of English (AHC),BA,English and Philosophy BA,3 Years,A-Levels: AAB | IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g656/english-and-philosophy-ba
University of Leeds,Leeds,School of English (AHC),BA,English Literature and Theatre BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g658/english-literature-and-theatre-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Arabic and Chinese BA,5 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/632/arabic-and-chinese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Arabic and Japanese BA,5 Years,A-Levels: AAB | IB: 33 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/631/arabic-and-japanese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Arabic and Russian BA,5 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j945/arabic-and-russian-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,"Arabic, Islamic, Middle Eastern and North African Studies BA",4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j555/arabic-islamic-middle-eastern-and-north-african-studies-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Chinese BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j558/chinese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Chinese and Japanese BA,5 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j568/chinese-and-japanese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,French BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j572/french-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,French and German BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j576/french-and-german-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,French and Italian BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j578/french-and-italian-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,French and Spanish BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j582/french-and-spanish-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,German BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j586/german-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,German and Spanish BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j596/german-and-spanish-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Italian and Spanish BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j610/italian-and-spanish-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Japanese BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j616/japanese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Japanese and Korean BA,5 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j618/japanese-and-korean-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Modern Languages BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j624/modern-languages-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Russian BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j636/russian-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Spanish BA,4 Years,A-Levels: ABB | IB: 32 points. Year abroad included.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j644/spanish-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Spanish and Portuguese BA,4 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j648/spanish-and-portuguese-ba
University of Leeds,Leeds,"School of Languages, Cultures and Societies (AHC)",BA,Translation Studies BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/j660/translation-studies-ba
University of Leeds,Leeds,"School of Philosophy, Religion and History of Science (AHC)",BA,Philosophy BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £23,000",29-Jan-2026,https://courses.leeds.ac.uk/g718/philosophy-ba
