university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Cambridge,Cambridge,"Department of Anglo-Saxon, Norse and Celtic",BA,"Anglo-Saxon, Norse and Celtic",3 Years,A*AA at A-Level. No specific subjects required. Strong interest in medieval languages and cultures.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-and-celtic
University of Cambridge,Cambridge,Department of Archaeology,BA,Archaeology,3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/archaeology
University of Cambridge,Cambridge,Department of Architecture,BA,Architecture,3 Years,A*AA at A-Level. Portfolio required. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/architecture
University of Cambridge,Cambridge,Faculty of Asian and Middle Eastern Studies,BA,Asian and Middle Eastern Studies,3 Years (4 Years with intensive language),A*AA at A-Level. A language at A-Level is desirable.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/asian-and-middle-eastern-studies
University of Cambridge,Cambridge,Faculty of Classics,BA,Classical Archaeology and Ancient History,3 Years,A*AA at A-Level. Latin or Greek beneficial but not required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/classical-archaeology-and-ancient-history
University of Cambridge,Cambridge,Faculty of Classics,BA,Classics,3 Years (4 Years with preliminary year),A*AA at A-Level including Latin or Greek.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/classics
University of Cambridge,Cambridge,Faculty of Economics,BA,Economics,3 Years,A*AA at A-Level including Mathematics at A*. Further Mathematics strongly recommended.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/economics
University of Cambridge,Cambridge,Faculty of Education,BA,Education,3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/education
University of Cambridge,Cambridge,Faculty of English,BA,English,3 Years,A*AA at A-Level including English Literature.,IELTS 7.5 overall (min 7.5 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/english
University of Cambridge,Cambridge,Department of Geography,BA,Geography,3 Years,A*AA at A-Level including Geography.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/geography
University of Cambridge,Cambridge,Faculty of History,BA,History,3 Years,A*AA at A-Level including History.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/history
University of Cambridge,Cambridge,Faculty of History / Faculty of Modern and Medieval Languages,BA,History and Modern Languages,4 Years,A*AA at A-Level including History and a Modern Language at A or A*.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/history-and-modern-languages
University of Cambridge,Cambridge,Faculty of History / Department of Politics and International Studies,BA,History and Politics,3 Years,A*AA at A-Level including History.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/history-and-politics
University of Cambridge,Cambridge,Department of History of Art,BA,History of Art,3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/history-of-art
University of Cambridge,Cambridge,Department of Politics and International Studies / Department of Sociology,BA,"Human, Social, and Political Sciences",3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/human-social-and-political-sciences
University of Cambridge,Cambridge,Department of Land Economy,BA,Land Economy,3 Years,A*AA at A-Level. Mathematics at A-Level recommended.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/land-economy
University of Cambridge,Cambridge,Faculty of Law,BA,Law,3 Years,A*AA at A-Level. No specific subjects required. LNAT required.,LNAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/law
University of Cambridge,Cambridge,Department of Theoretical and Applied Linguistics,BA,Linguistics,3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/linguistics
University of Cambridge,Cambridge,Faculty of Modern and Medieval Languages,BA,Modern and Medieval Languages,4 Years,A*AA at A-Level including a language at A or A*. Year abroad in Part II.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/modern-and-medieval-languages
University of Cambridge,Cambridge,Faculty of Music,BA,Music,3 Years,A*AA at A-Level including Music at grade A. Aural test required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/music
University of Cambridge,Cambridge,Faculty of Philosophy,BA,Philosophy,3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/philosophy
University of Cambridge,Cambridge,Department of Psychology,BA,Psychological and Behavioural Sciences,3 Years,A*AA at A-Level. No specific subjects required; science background beneficial.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/psychological-and-behavioural-sciences
University of Cambridge,Cambridge,Faculty of Divinity,BA,"Theology, Religion, and Philosophy of Religion",3 Years,A*AA at A-Level. No specific subjects required.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £24,792/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/theology-religion-and-philosophy-of-religion
University of Cambridge,Cambridge,School of Biological Sciences,BA,Biological Natural Sciences,3 Years,A*AA at A-Level including Chemistry and Biology (or Maths/Physics).,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/biological-natural-sciences
University of Cambridge,Cambridge,Department of Chemical Engineering and Biotechnology,BA/MEng,Chemical Engineering via Engineering,4 Years,A*A*A at A-Level including Mathematics and Chemistry. ESAT required.,ESAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering
University of Cambridge,Cambridge,Department of Chemistry,BA,Chemistry,3 Years,A*AA at A-Level including Chemistry and Mathematics.,IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/chemistry
University of Cambridge,Cambridge,Department of Computer Science and Technology,BA,Computer Science,3 Years,A*AA at A-Level including Mathematics. Further Mathematics strongly recommended. ESAT required.,ESAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/computer-science
University of Cambridge,Cambridge,Department of Earth Sciences,BA,Earth Sciences,3 Years,"A*AA at A-Level including at least two of Mathematics, Physics, Chemistry, Biology, Geography.",IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/earth-sciences
University of Cambridge,Cambridge,Department of Engineering,BA/MEng,Engineering,3 Years (BA) / 4 Years (MEng),A*A*A at A-Level including Mathematics and Physics. Further Mathematics strongly recommended. ESAT required.,ESAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/engineering
University of Cambridge,Cambridge,Faculty of Mathematics,BA,Mathematics,3 Years,A*A*A at A-Level including Mathematics and Further Mathematics. TMUA required.,TMUA; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/mathematics
University of Cambridge,Cambridge,School of Clinical Medicine,MB BChir,Medicine,6 Years,A*AA at A-Level including Chemistry and Biology (or Physics or Maths). UCAT required. Relevant healthcare work experience essential.,UCAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/medicine
University of Cambridge,Cambridge,School of Physical Sciences / School of Biological Sciences,BA/MSci,Natural Sciences,3 Years (BA) / 4 Years (MSci),"A*A*A at A-Level including at least two sciences (Chemistry, Physics, Biology, Maths). ESAT required for Physical route.",ESAT (Physical route); IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/natural-sciences
University of Cambridge,Cambridge,School of Physical Sciences,BA,Physical Natural Sciences,3 Years,A*A*A at A-Level including Mathematics and Physics and/or Chemistry.,ESAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/physical-natural-sciences
University of Cambridge,Cambridge,Department of Veterinary Medicine,VetMB,Veterinary Medicine,6 Years,A*AA at A-Level including Chemistry and Biology. Work experience with animals required. UCAT required.,UCAT; IELTS 7.5 overall (min 7.0 per component),"UK: £9,535/year | International: £36,594/year",16-Oct-2025,https://www.undergraduate.study.cam.ac.uk/courses/veterinary-medicine
University of Cambridge,Cambridge,"Department of Anglo-Saxon, Norse and Celtic",MPhil,"Anglo-Saxon, Norse and Celtic",1 Year,First or high 2:1 honours degree in a relevant humanities discipline.,IELTS 7.5 overall (min 7.0 per component),"UK: £14,000/year | International: £33,429/year",03-Apr-2025,https://www.postgraduate.study.cam.ac.uk/courses/anglo-saxon-norse-and-celtic
University of Cambridge,Cambridge,Department of Archaeology,MPhil,Archaeology,1 Year,First or high 2:1 honours degree in Archaeology or related discipline.,IELTS 7.5 overall (min 7.0 per component),"UK: £14,000/year | International: £33,429/year",07-Mar-2025,https://www.postgraduate.study.cam.ac.uk/courses/archaeology
University of Cambridge,Cambridge,Department of Architecture,MPhil,Architecture and Urban Studies,1 Year,"First or high 2:1 honours degree in Architecture, Urban Studies or related discipline.",IELTS 7.5 overall (min 7.0 per component),"UK: £14,000/year | International: £33,429/year",07-Mar-2025,https://www.postgraduate.study.cam.ac.uk/courses/architecture-and-urban-studies
University of Cambridge,Cambridge,Institute of Criminology,MPhil,Criminology,1 Year,"First or high 2:1 honours degree in Law, Social Sciences or related discipline.",IELTS 7.5 overall (min 7.0 per component),"UK: £14,000/year | International: £33,429/year",07-Mar-2025,https://www.postgraduate.study.cam.ac.uk/courses/criminology
