university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Computer Science,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G400
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Computer Science (with Foundation Year),4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G40F
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Computer Science (with Placement Year),4 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G400
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Cyber Security and Digital Forensics,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G490
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Software Engineering,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G600
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Artificial Intelligence,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/G700
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MSc,Information Technology,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/G50012
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MSc,Data Science,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/G50112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MSc,Cyber Security,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/G49112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BEng (Hons),Aerospace Engineering,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/H400
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BEng (Hons),Mechanical Engineering,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/H300
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BEng (Hons),Civil Engineering,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/H200
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BEng (Hons),Robotics,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/H670
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MSc,Aerospace Engineering,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/H40112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MSc,Robotics,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/H67112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Architecture,3 Years,128 UCAS points; Portfolio required,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/K100
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Real Estate,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N230
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BSc (Hons),Geography,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/F800
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MArch,Architecture,2 Years,An honours degree of 2:1 or above in a relevant subject; Portfolio required,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/K10112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BA (Hons),Animation,3 Years,112 UCAS points; Portfolio required,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/W615
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BA (Hons),Filmmaking,3 Years,112 UCAS points; Portfolio required,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/W600
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BA (Hons),Graphic Design,3 Years,112 UCAS points; Portfolio required,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/W210
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",BA (Hons),Fashion Communication,3 Years,112 UCAS points; Portfolio required,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/W230
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",MA,Animation,1 Years,An honours degree of 2:2 or above in a relevant subject; Portfolio required,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/W61512
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),Business Management,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N200
