university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Bolton,Bolton,School of Engineering,BEng (Hons),Mechanical Engineering,3 years full-time (4 sandwich),"96-112 UCAS Tariff points; A-levels: CCC–BCC; Maths preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; subject to UK Govt confirmation — Bolton plans to charge maximum permitted level)
International: 16900/yr (2026/27; based on confirmed 2024/25 base of £15,950 with ~3% annual increase; most engineering UG courses consistent with this rate)
Note: Bolton rebranded as University of Greater Manchester from 2025. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-mechanical-engineering-full-time-university-of-bolton
University of Bolton,Bolton,School of Engineering,BEng (Hons),Civil Engineering,3 years full-time (4 sandwich),"96-112 UCAS Tariff points; A-levels: CCC–BCC; Maths preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; Engineering UG standard rate)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-civil-engineering-full-time-university-of-bolton
University of Bolton,Bolton,School of Engineering,BEng (Hons),Electrical and Electronic Engineering,3 years full-time (4 sandwich),"96-112 UCAS Tariff points; A-levels: CCC–BCC; Maths and Physics preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; Engineering UG standard rate)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-electrical-and-electronic-engineering-full-time-university-of-bolton
University of Bolton,Bolton,School of Engineering,BEng (Hons),Motorsport Engineering,3 years full-time (4 sandwich),"96-112 UCAS Tariff points; A-levels: CCC–BCC; Maths and Physics preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; Engineering UG standard rate)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-motorsport-engineering-full-time-university-of-bolton
University of Bolton,Bolton,School of Engineering,BSc (Hons),Construction Management,3 years full-time (4 sandwich),"96 UCAS Tariff points; A-levels: CCC; Maths preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; Engineering/Built Environment UG standard rate)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-construction-management-full-time-university-of-bolton
University of Bolton,Bolton,School of Engineering,BSc (Hons),Quantity Surveying,3 years full-time (4 sandwich),"96 UCAS Tariff points; A-levels: CCC; Maths preferred; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; Built Environment UG standard rate)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-quantity-surveying-full-time-university-of-bolton
University of Bolton,Bolton,School of Computing and Mathematics,BSc (Hons),Computer Science,3 years full-time,"104 UCAS Tariff points; A-levels: BCC; GCSE English and Maths grade C/4; relevant STEM subjects preferred; IELTS 6.0 overall (min 5.5 each component)
NOTE: This course has visa restrictions — some international students may be ineligible. Confirm visa eligibility directly with Bolton admissions before applying","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; CS UG standard rate — IMPORTANT: confirm visa eligibility as some CS courses at Bolton have international visa restrictions per official course page)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-computer-science-full-time-university-of-bolton
University of Bolton,Bolton,School of Computing and Mathematics,BSc (Hons),Artificial Intelligence,3 years full-time,"104 UCAS Tariff points; A-levels: BCC; GCSE English and Maths grade C/4; Maths preferred; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; CS/Computing UG standard rate — confirm visa eligibility with Bolton admissions)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-artificial-intelligence-full-time-university-of-bolton
University of Bolton,Bolton,School of Computing and Mathematics,BSc (Hons),Cyber Security,3 years full-time,"104 UCAS Tariff points; A-levels: BCC; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16900/yr (2026/27; CS/Computing UG standard rate — confirm visa eligibility with Bolton admissions)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-cyber-security-full-time-university-of-bolton
University of Bolton,Bolton,Business School,BA (Hons),Business Management,3 years full-time (4 sandwich),"80-96 UCAS Tariff points; A-levels: DDD–CCC; GCSE English and Maths grade C/4; IELTS 5.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Business/Humanities UG standard rate — lower than Science/Engineering)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students (Sep 2026/27 intake)
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/ba-hons-business-management-full-time-university-of-bolton
University of Bolton,Bolton,Business School,BA (Hons),Business Management with Accountancy,3 years full-time (4 sandwich),"80-96 UCAS Tariff points; A-levels: DDD–CCC; Maths preferred; GCSE English and Maths grade C/4; IELTS 5.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Business UG standard rate)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/ba-hons-business-management-with-accountancy-full-time-university-of-bolton
University of Bolton,Bolton,Business School,BA (Hons),Business Management with Marketing,3 years full-time (4 sandwich),"80-96 UCAS Tariff points; A-levels: DDD–CCC; GCSE English and Maths grade C/4; IELTS 5.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Business UG standard rate)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/ba-hons-business-management-with-marketing-full-time-university-of-bolton
University of Bolton,Bolton,Business School,BA (Hons),Business Management with Human Resource Management,3 years full-time (4 sandwich),"80-96 UCAS Tariff points; A-levels: DDD–CCC; GCSE English and Maths grade C/4; IELTS 5.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Business UG standard rate)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/ba-hons-business-management-with-human-resource-management-full-time-university-of-bolton
University of Bolton,Bolton,School of Education and Psychology,BA (Hons),Education Studies,3 years full-time,"80-96 UCAS Tariff points; A-levels: DDD–CCC; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Education/Humanities UG standard rate)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/ba-hons-education-studies-full-time-university-of-bolton
University of Bolton,Bolton,School of Education and Psychology,BSc (Hons),Psychology,3 years full-time,"96-112 UCAS Tariff points; A-levels: CCC–BCC; GCSE English and Maths grade C/4; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 15950/yr (2026/27; Social Sciences/Psychology UG standard rate)
International Excellence Scholarship: up to 25% off Year 1 fees for high-achieving international students
Note: Bolton rebranded as University of Greater Manchester. UCAS code: B24",14 January 2026,https://greatermanchester.ac.uk/course/bsc-hons-psychology-full-time-university-of-bolton
