university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Anglia Ruskin University,Cambridge,School of Computing and Digital Technology,BSc (Hons),Computer Science,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/computer-science-bsc
Anglia Ruskin University,Cambridge,School of Computing and Digital Technology,BEng (Hons),Computer Science,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/computer-science-beng
Anglia Ruskin University,Cambridge,School of Computing and Digital Technology,BSc (Hons),Artificial Intelligence,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; pass in Maths at grade E or above; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/artificial-intelligence
Anglia Ruskin University,Cambridge,School of Computing and Digital Technology,BSc (Hons),Cyber Security,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/cyber-security
Anglia Ruskin University,Cambridge,School of Computing and Digital Technology,BSc (Hons),Software Engineering,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/software-engineering
Anglia Ruskin University,Peterborough,School of Computing and Digital Technology,BSc (Hons),Computing,3 years full-time (4 with placement),96 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/computing
Anglia Ruskin University,Chelmsford,School of Engineering and the Built Environment,BEng (Hons),Electronic and Electrical Engineering,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/electronic-and-electrical-engineering-beng
Anglia Ruskin University,Chelmsford,School of Engineering and the Built Environment,BEng (Hons),Mechanical Engineering,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/mechanical-engineering-beng
Anglia Ruskin University,Chelmsford,School of Engineering and the Built Environment,BEng (Hons),Civil Engineering,3 years full-time (4 with placement),112 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 6.0 overall (min 5.5 each component); or equivalent,IELTS 6.0 / TOEFL 79 / PTE 51,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed from aru.ac.uk Engineering courses)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/civil-engineering-beng
Anglia Ruskin University,Chelmsford,School of Engineering and the Built Environment,BSc (Hons),Building Surveying,3 years full-time (4 with placement),96 UCAS tariff points from minimum 2 A-levels; GCSE Maths and English grade 4/C; IELTS 5.5 overall (min 5.5 each component); or equivalent,IELTS 5.5 / TOEFL 72 / PTE 42,"Home: 9790/yr (2026/27; confirmed from aru.ac.uk course page)
International: 18400/yr (2026/27; confirmed directly from aru.ac.uk course page)
Deposit: 4000 required before CAS issued
Placement year fee: confirmed on course page",14 January 2026,https://www.aru.ac.uk/study/undergraduate/building-surveying
