university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Sheffield,Sheffield,School of Architecture and Landscape,BA,Architecture,3 Years,AAB. Portfolio required. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£25,660 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/architecture-ba
University of Sheffield,Sheffield,School of Architecture and Landscape,BSc,Landscape Architecture,3 Years,ABB. Portfolio recommended. IB: 32 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£25,660 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/landscape-architecture-bsc
University of Sheffield,Sheffield,School of Architecture and Landscape,MArch,Architecture (MArch),2 Years (PGT entry),2:1 Honours BArch or Part 1 equivalent. Portfolio required.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£25,660 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year","Rolling admissions — apply early; overseas students receive automatic £3,000 tuition discount",https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/architecture-march
University of Sheffield,Sheffield,"School of Allied Health Professions, Nursing and Midwifery",BSc,Speech and Language Therapy,3 Years,AAB including Biology or Psychology. IB: 34 points. Interview required.,IELTS 7.0 overall (min 6.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/speech-and-language-therapy-bsc
University of Sheffield,Sheffield,"School of Allied Health Professions, Nursing and Midwifery",BSc,Nursing (Adult),3 Years,BCC including a science. IB: 28 points. Interview required.,IELTS 7.0 overall (min 6.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/nursing-adult-bsc
University of Sheffield,Sheffield,"School of Allied Health Professions, Nursing and Midwifery",BSc,Nursing (Mental Health),3 Years,BCC including a science. IB: 28 points. Interview required.,IELTS 7.0 overall (min 6.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/nursing-mental-health-bsc
University of Sheffield,Sheffield,School of Biosciences,BSc,Biochemistry,3 Years,AAB including Chemistry and Biology. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/biochemistry-bsc
University of Sheffield,Sheffield,School of Biosciences,BSc,Biology,3 Years,AAB including Biology and Chemistry or Maths. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/biology-bsc
University of Sheffield,Sheffield,School of Biosciences,BSc,Biomedical Science,3 Years,AAB including Biology and Chemistry. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/biomedical-science-bsc
University of Sheffield,Sheffield,School of Biosciences,MBiolSci,Biology with a Year in Industry,4 Years,AAB including Biology and Chemistry or Maths. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/biology-with-a-year-in-industry-mbiolsci
University of Sheffield,Sheffield,School of Biosciences,BSc,Genetics,3 Years,AAB including Biology and Chemistry. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/genetics-bsc
University of Sheffield,Sheffield,School of Biosciences,BSc,Microbiology,3 Years,AAB including Biology and Chemistry. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£29,300 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/microbiology-bsc
University of Sheffield,Sheffield,"School of Chemical, Materials and Biological Engineering",BEng,Chemical Engineering,3 Years,AAB including Chemistry and Mathematics. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/chemical-engineering-beng
University of Sheffield,Sheffield,"School of Chemical, Materials and Biological Engineering",MEng,Chemical Engineering,4 Years,A*AB including Chemistry and Mathematics. IB: 36 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/chemical-engineering-meng
University of Sheffield,Sheffield,"School of Chemical, Materials and Biological Engineering",BEng,Bioengineering,3 Years,AAB including Mathematics and at least one science. IB: 34 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/bioengineering-beng
University of Sheffield,Sheffield,"School of Chemical, Materials and Biological Engineering",MEng,Bioengineering,4 Years,A*AB including Mathematics and at least one science. IB: 36 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/bioengineering-meng
University of Sheffield,Sheffield,School of Computer Science,BSc,Computer Science,3 Years,AAA including Mathematics. IB: 36 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/computer-science-bsc
University of Sheffield,Sheffield,School of Computer Science,MEng,Computer Science,4 Years,A*AA including Mathematics at A*. IB: 38 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/computer-science-meng
University of Sheffield,Sheffield,School of Computer Science,BSc,Computer Science (Artificial Intelligence),3 Years,AAA including Mathematics. IB: 36 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/computer-science-artificial-intelligence-bsc
University of Sheffield,Sheffield,School of Computer Science,BSc,Software Engineering,3 Years,AAA including Mathematics. IB: 36 points.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£31,290 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/software-engineering-bsc
University of Sheffield,Sheffield,School of Economics,BSc,Economics,3 Years,AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 in each component),"• Home: £9,790/year
• International: ~£23,985 (check fee lookup tool: ssd.dept.shef.ac.uk/fees/ug/ug-fees.php)/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.sheffield.ac.uk/undergraduate/courses/2026/economics-bsc
