university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Reading,Reading,School of Humanities,BA,English Literature,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/english-literature-ug/ba-english-literature
University of Reading,Reading,School of Humanities,BA,History,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/history-ug/ba-history
University of Reading,Reading,School of Humanities,BA,Philosophy,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/philosophy-ug/ba-philosophy
University of Reading,Reading,School of Humanities,BA,History and International Relations,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/history-ug/ba-history-and-international-relations
University of Reading,Reading,Department of English Language and Applied Linguistics,BA,English Language and Linguistics,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/english-language-and-applied-linguistics-ug/ba-english-language-and-linguistics
University of Reading,Reading,School of Law,LLB,Law,3 years full-time,"A-levels: ABB; IELTS 7.0 overall (min 6.5 each); or equivalent international qualification","IELTS 7.0 / TOEFL 100 / PTE 68","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/law-ug/llb-law
University of Reading,Reading,School of Law,LLB,Law with Legal Practice,4 years full-time,"A-levels: ABB; IELTS 7.0 overall (min 6.5 each); or equivalent international qualification","IELTS 7.0 / TOEFL 100 / PTE 68","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/law-ug/llb-law-with-legal-practice
University of Reading,Reading,Henley Business School,BSc,Accounting and Finance,3 years full-time,"A-levels: ABB; Maths preferred; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/accounting-ug/bsc-accounting-and-finance
University of Reading,Reading,Henley Business School,BSc,Business and Management,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/business-and-management-ug/bsc-business-and-management
University of Reading,Reading,Henley Business School,BSc,Economics,3 years full-time,"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/economics-ug/bsc-economics
University of Reading,Reading,Henley Business School,BSc,Finance and Investment Banking,3 years full-time,"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/finance-ug/bsc-finance-and-investment-banking
University of Reading,Reading,Henley Business School,BSc,Marketing and Management,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/marketing-ug/bsc-marketing-and-management
University of Reading,Reading,Henley Business School,BSc,International Business and Finance,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/business-and-management-ug/bsc-international-business-and-finance
University of Reading,Reading,Henley Business School,BSc,Real Estate and Finance,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/real-estate-and-planning-ug/bsc-real-estate-and-finance
University of Reading,Reading,School of Politics Economics and International Relations,BSc,Politics and International Relations,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-and-international-relations-ug/bsc-politics-and-international-relations
University of Reading,Reading,School of Politics Economics and International Relations,BSc,International Relations,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement/study abroad year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-relations-ug/bsc-international-relations
University of Reading,Reading,School of Politics Economics and International Relations,BSc,Economics and Finance,3 years full-time,"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/economics-ug/bsc-economics-and-finance
University of Reading,Reading,School of Psychology and Clinical Language Sciences,BSc,Psychology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/psychology-ug/bsc-psychology
University of Reading,Reading,School of Psychology and Clinical Language Sciences,BSc,Psychology with Clinical Psychology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr
International (non-laboratory): 25850/yr
Placement year: 15% of standard fee",14 January 2026,https://www.reading.ac.uk/ready-to-study/study/subject-area/psychology-ug/bsc-psychology-with-clinical-psychology
