university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/business-and-management/bsc-honours-business-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Business Management (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/business-and-management/bsc-honours-business-management/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/accounting-and-finance/bsc-honours-accounting-and-finance/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Accounting and Finance (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/accounting-and-finance/bsc-honours-accounting-and-finance/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Banking and Finance (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/banking-and-finance/bsc-honours-banking-and-finance/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Business Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/business-and-management/bsc-honours-business-economics/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/business-and-management/bsc-honours-economics/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Events Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/events-management/bsc-honours-events-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Events Management (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/events-management/bsc-honours-events-management/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Human Resource Management (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/human-resource-management/bsc-honours-human-resource-management/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),International Business (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/international-business/bsc-honours-international-business/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Marketing,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/marketing/bsc-honours-marketing/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Marketing (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/marketing/bsc-honours-marketing/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Tourism Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/tourism-hospitality-and-events/bsc-honours-tourism-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Hospitality Business Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/tourism-hospitality-and-events/bsc-honours-hospitality-business-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Sport Business Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/sport/bsc-honours-sport-business-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",LLB (Hons),Law,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/law/llb-honours-law/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",LLB (Hons),Law (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/law/llb-honours-law/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",LLB (Hons),Law with Criminology,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/law/llb-honours-law-with-criminology/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",LLB (Hons),Law with Business,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/law/llb-honours-law-with-business/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BArch (Hons),Architecture,3 Years,128 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 30 points. RIBA Part 1 qualification.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/architecture/barch-architecture/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Architectural Technology,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/architecture/bsc-honours-architectural-technology/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Architectural Technology (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/architecture/bsc-honours-architectural-technology/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Quantity Surveying,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/building-and-quantity-surveying/bsc-honours-quantity-surveying/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Quantity Surveying (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/building-and-quantity-surveying/bsc-honours-quantity-surveying/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Building Surveying,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/building-and-quantity-surveying/bsc-honours-building-surveying/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BSc (Hons),Construction Project Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/building-and-quantity-surveying/bsc-honours-construction-project-management/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BA (Hons),Interior Architecture,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/interior-architecture/ba-honours-interior-architecture/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BEng (Hons),Automotive Engineering,4 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/automotive-engineering/beng-honours-automotive-engineering/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",MEng (Hons),Automotive Engineering,4 Years,128 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths and Physics A-level required. IB: 30 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/automotive-engineering/meng-automotive-engineering/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BEng (Hons),Automotive Engineering with Foundation Year,5 Years,80 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/automotive-engineering/beng-honours-automotive-engineering-with-foundation-year/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BEng (Hons),Civil Engineering,3 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/civil-and-structural-engineering/beng-honours-civil-engineering/full-time
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",BEng (Hons),Civil Engineering (with Placement Year),4 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/civil-and-structural-engineering/beng-honours-civil-engineering/sandwich
Sheffield Hallam University,Sheffield,"College of Business, Technology and Engineering",MEng (Hons),Civil Engineering,4 Years,128 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths and Physics A-level required. IB: 30 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £18,000",29-Jan-2026 (UCAS),https://www.shu.ac.uk/courses/civil-and-structural-engineering/meng-civil-engineering/full-time
