university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/accounting-and-finance-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Accounting and Finance (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/accounting-and-finance-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Accounting and Finance (with Foundation Year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/accounting-and-finance-with-foundation-year-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/business-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Business Management (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/business-management-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Business Management (with Foundation Year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/business-management-with-foundation-year-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/economics-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Economics (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/economics-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Economics and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/economics-and-finance-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Events Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/events-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Events Management (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/events-management-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/finance-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Human Resource Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/human-resource-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),International Business,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/international-business-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),International Business (with Placement Year),4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/international-business-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Marketing,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/marketing-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Marketing (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/marketing-bsc-sandwich/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Marketing (with Foundation Year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/marketing-with-foundation-year-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Sport Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/sport-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Tourism Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/tourism-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,BSc (Hons),Hospitality Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/hospitality-management-bsc/
University of Portsmouth,Portsmouth,Faculty of Business and Law,LLB (Hons),Law,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.port.ac.uk/study/courses/undergraduate/law-llb/
