university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Accounting BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n400-accounting-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Accounting and Finance BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n420-accounting-and-finance-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Banking and Finance BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n300-banking-and-finance-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Business Administration BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n200-business-administration-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Business and Management BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n100-business-and-management-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Business Data Analytics BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n313-business-data-analytics-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Economics BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/l100-economics-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Finance BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n300-finance-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),International Business BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n120-international-business-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Marketing BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n500-marketing-bsc-hons
Bangor University,Bangor,Albert Gubay Business School,BSc (Hons),Tourism Management BSc (Hons),3 years full-time,A-levels: BBC-ABB or equivalent; IB: 28-32 points; Welsh Baccalaureate accepted; Foundation year available,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 19000/yr (Band B); Total UK (3yr): 28605; Total International (3yr): 57000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/n832-tourism-management-bsc-hons
Bangor University,Bangor,School of Law,LLB (Hons),Law LLB (Hons),3 years full-time,A-levels: BBB or equivalent; IB: 29 points,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 18000/yr (Band A - Law); Total UK (3yr): 28605; Total International (3yr): 54000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/m100-law-llb-hons
Bangor University,Bangor,School of Law,LLB (Hons),Law with Criminology LLB (Hons),3 years full-time,A-levels: BBB or equivalent; IB: 29 points,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 18000/yr (Band A - Law); Total UK (3yr): 28605; Total International (3yr): 54000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/m130-law-with-criminology-llb-hons
Bangor University,Bangor,School of Law,LLB (Hons),Law with Business LLB (Hons),3 years full-time,A-levels: BBB or equivalent; IB: 29 points,IELTS 6.0 (min 5.5 in all components); TOEFL iBT 80; PTE Academic 54,UK: 9535/yr; International: 18000/yr (Band A - Law); Total UK (3yr): 28605; Total International (3yr): 54000,14 January 2026 (UCAS),https://www.bangor.ac.uk/courses/undergraduate/m121-law-with-business-llb-hons
