university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Kent,Canterbury,Kent Business School,BSc (Hons),Accounting and Finance,3 years full-time; 4 years with industry/abroad,"A-levels: ABB or equivalent; IB: 128 tariff points (typically H5, H6, H6); BTEC: DDM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 20700/yr; Total UK (3yr): 29370; Total International (3yr): 62100",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/235/accounting-and-finance
University of Kent,Canterbury,Kent Law School,LLB (Hons),Law,3 years full-time; 4 years with industry/abroad,"A-levels: AAB or equivalent; IB: 136 tariff points (typically H6, H6, H6); BTEC: DDD; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.5 overall (min 5.5 in all components); TOEFL iBT 87; PTE Academic 67,"UK: 9790/yr; International: 19300/yr; Total UK (3yr): 29370; Total International (3yr): 57900",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/177/law
University of Kent,Canterbury,School of Computing,BSc (Hons),Computer Science,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points; BTEC: DDM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 23500/yr; Total UK (3yr): 29370; Total International (3yr): 70500",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/124/computer-science
University of Kent,Canterbury,School of Psychology,BSc (Hons),Psychology,3 years full-time; 4 years with industry/abroad,"A-levels: ABB or equivalent; IB: 128 tariff points (typically H5, H6, H6); BTEC: DDM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 23500/yr; Total UK (3yr): 29370; Total International (3yr): 70500",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/49/psychology
University of Kent,Canterbury,School of Economics,BSc (Hons),Economics,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points (typically H5, H6, H6); GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 19300/yr; Total UK (3yr): 29370; Total International (3yr): 57900",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/109/economics
University of Kent,Canterbury,School of Politics and International Relations,BA (Hons),Politics and International Relations,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points (typically H5, H6, H6); BTEC: DMM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 19300/yr; Total UK (3yr): 29370; Total International (3yr): 57900",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/31/politics-and-international-relations
University of Kent,Canterbury,School of Biosciences,BSc (Hons),Biomedical Science,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points (typically H5, H6, H6); GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 23500/yr; Total UK (3yr): 29370; Total International (3yr): 70500",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/263/biomedical-science
University of Kent,Canterbury,School of History,BA (Hons),History,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points (typically H5, H6, H6); BTEC: DMM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 19300/yr; Total UK (3yr): 29370; Total International (3yr): 57900",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/85/history
University of Kent,Canterbury,Kent School of Architecture and Design,BA (Hons),Architecture,3 years full-time; 4 years with a year abroad,"A-levels: ABB or equivalent; IB: 128 tariff points (typically H5, H6, H6); BTEC: DDM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 23500/yr; Total UK (3yr): 29370; Total International (3yr): 70500",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/4/architecture
University of Kent,Canterbury,School of Anthropology and Conservation,BSc (Hons),Ecology and Conservation,3 years full-time; 4 years with industry/abroad,"A-levels: BBB or equivalent; IB: 120 tariff points; BTEC: DDM; GCSEs: English and Mathematics grade 4/C or above",IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 63,"UK: 9790/yr; International: 23500/yr; Total UK (3yr): 29370; Total International (3yr): 70500",29 January 2026,https://www.kent.ac.uk/courses/undergraduate/30/ecology-and-conservation
