university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Southampton,Southampton,Southampton Business School,BSc,Accounting and Finance,3 Years,AAB including Mathematics at B. IB: 34 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £26,200/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/accounting-and-finance-bsc-n400
University of Southampton,Southampton,Southampton Business School,BSc,Accounting and Taxation,3 Years,AAB including Mathematics at B. IB: 34 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £26,200/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/accounting-and-taxation-bsc-n410
University of Southampton,Southampton,School of Engineering,BEng,Aeronautics and Astronautics,3 Years,AAB including Mathematics and Physics. IB: 34 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aeronautics-and-astronautics-beng-h422
University of Southampton,Southampton,School of Engineering,MEng,Aeronautics and Astronautics,4 Years,A*AB including Mathematics and Physics. IB: 36 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aeronautics-and-astronautics-meng-h401
University of Southampton,Southampton,School of Engineering,MEng,Aeronautics and Astronautics / Aerodynamics,4 Years,A*AB including Mathematics and Physics. IB: 36 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aeronautics-and-astronautics-aerodynamics-meng-h490
University of Southampton,Southampton,School of Engineering,MEng,Aeronautics and Astronautics / Spacecraft Engineering,4 Years,A*AB including Mathematics and Physics. IB: 36 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aeronautics-and-astronautics-spacecraft-engineering-meng-h493
University of Southampton,Southampton,School of Electronics and Computer Science,BEng,Aerospace Electronic Engineering,3 Years,AAB including Mathematics and Physics. IB: 34 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aerospace-electronic-engineering-beng-h403
University of Southampton,Southampton,School of Electronics and Computer Science,MEng,Aerospace Electronic Engineering,4 Years,A*AB including Mathematics and Physics. IB: 36 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/aerospace-electronic-engineering-meng-h402
University of Southampton,Southampton,School of Engineering,BEng,Artificial Intelligence,3 Years,AAA including Mathematics. IB: 36 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/artificial-intelligence-beng-i400
University of Southampton,Southampton,School of Engineering,MEng,Artificial Intelligence,4 Years,A*AA including Mathematics. IB: 38 points.,IELTS 6.5 overall (min 5.5 in each component),"• Home: £9,790/year
• International: £31,000/year",29-Jan-2026 (UCAS); International: 30-Jun-2026,https://www.southampton.ac.uk/courses/undergraduate/artificial-intelligence-meng-i401
