university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Aston University,Birmingham,Aston Business School,BSc (Hons),Accounting and Finance BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/accounting-and-finance-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business Analytics BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-analytics-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business and International Relations BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-and-international-relations-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business and Management BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-and-management-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business and Politics BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-and-politics-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business and Sociology BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-and-sociology-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business and Supply Chain Management BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-and-supply-chain-management-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business Computing and IT BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-computing-and-it-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business Economics BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-economics-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Business Enterprise Development BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/business-enterprise-development-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Digital Marketing BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/digital-marketing-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Economics BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/economics-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Economics and Politics BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2026
Aston University,Birmingham,Aston Business School,BSc (Hons),Finance BSc (Hons),3 years full-time; 4 years with placement year,A-levels: ABB-AAA or equivalent; International Baccalaureate: 32-36 points; Foundation year accepted,IELTS 6.5 (min 6.0 in all components); TOEFL iBT 90; PTE 62,"UK: 9790/yr; International: 22500/yr; Placement year: UK 1250, International 2500; Total UK (4yr with placement): 30620; Total International (4yr with placement): 69500",29 January 2026 (UCAS),https://www.aston.ac.uk/study/courses/finance-bsc/september-2026
