university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Accounting,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/accounting-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Accounting and Finance,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/accounting-and-finance-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Business Management,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/business-management-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Business Management with Marketing,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/business-management-with-marketing-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Business Management with Finance,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/business-management-with-finance-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Business Management with Human Resource Management,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/business-management-with-human-resource-management-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Business Management with Entrepreneurship,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/business-management-with-entrepreneurship-bsc-hons
University of Hull,Hull,Hull University Business School,BA (Hons),BA (Hons) Marketing,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/marketing-ba-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Finance,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/finance-bsc-hons
University of Hull,Hull,Hull University Business School,BSc (Hons),BSc (Hons) Economics,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/economics-bsc-hons
University of Hull,Hull,Hull University Business School,BA (Hons),BA (Hons) Economics and Politics,3 years; 4 years with placement,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/economics-and-politics-ba-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law,3 years; 4 years with year in Westminster/abroad,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-llb-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law with Criminology,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-with-criminology-llb-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law with Business Management,3 years; 4 years with placement,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-with-business-management-llb-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law with Human Rights,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-with-human-rights-llb-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law and Legislative Studies (including year in Westminster),4 years sandwich,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (4yr): 38140; Total International (4yr): 72400",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-and-legislative-studies-llb-hons
University of Hull,Hull,School of Law,LLB (Hons),LLB (Hons) Law (Senior Status),2 years full-time,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English grade 4/C and Maths grade 4/C; any A-level subjects accepted,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (2yr): 19070; Total International (2yr): 36200",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/law-senior-status-llb-hons
University of Hull,Hull,Department of Politics and International Studies,BA (Hons),BA (Hons) Politics,3 years; 4 years with year abroad,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/politics-ba-hons
University of Hull,Hull,Department of Politics and International Studies,BA (Hons),BA (Hons) Politics and International Relations,3 years; 4 years with year abroad,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/politics-and-international-relations-ba-hons
University of Hull,Hull,Department of Politics and International Studies,BA (Hons),BA (Hons) International Relations and Security,3 years; 4 years with year abroad,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (3yr): 28605; Total International (3yr): 54300",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/international-relations-and-security-ba-hons
University of Hull,Hull,Department of Politics and International Studies,BA (Hons),BA (Hons) British Politics and Legislative Studies (including year in Westminster),4 years sandwich,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 18100/yr; Placement/Year Abroad: UK 1,850, International 3620; Total UK (4yr): 38140; Total International (4yr): 72400",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/british-politics-and-legislative-studies-ba-hons
University of Hull,Hull,"Faculty of Arts, Cultures and Education",BA (Hons),BA (Hons) English,3 years; 4 years with year abroad,A-levels: BBC or equivalent (96-112 UCAS points); IB: 28-30 points; BTEC DMM or equivalent accepted; GCSEs: English grade 4/C and Maths grade 4/C,"IELTS 6.0 overall (min 5.5 in each skill); TOEFL iBT 78 (min Reading 18, Listening 17, Speaking 20, Writing 17); PTE Academic 54","UK Home: 9535/yr; International: 17500/yr; Placement/Year Abroad: UK 1,850, International 3500; Total UK (3yr): 28605; Total International (3yr): 52500",29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.hull.ac.uk/study/undergraduate/courses/english-ba-hons
