university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/accounting-and-finance-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Accounting and Finance with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/accounting-and-finance-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Business Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/business-management-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Business Management with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/business-management-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/economics-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Economics with Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/economics-with-finance-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Economics with Data Analytics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/economics-with-data-analytics-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Entrepreneurship,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/entrepreneurship-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Events Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/events-management-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Events Management with Professional Placement,4 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/events-management-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/finance-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Finance with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/finance-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Human Resource Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/human-resource-management-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),International Business,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/international-business-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),International Business with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/international-business-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Logistics and Supply Chain Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/logistics-and-supply-chain-management-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Marketing,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/marketing-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Marketing with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/marketing-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Tourism Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/tourism-management-bsc-hons
Kingston University London,Kingston upon Thames,Kingston Business School,BSc (Hons),Tourism Management with Professional Placement,4 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/tourism-management-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Computer Science,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/computer-science-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Computer Science with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/computer-science-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Computer Science with Artificial Intelligence,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/computer-science-with-artificial-intelligence-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Cyber Security,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/cyber-security-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Software Engineering,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/software-engineering-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Software Engineering with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/software-engineering-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BA (Hons),Game Creation,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/game-creation-ba-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Aerospace Engineering,3 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/aerospace-engineering-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Aerospace Engineering with Professional Placement,4 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/aerospace-engineering-with-professional-placement-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Aerospace Engineering with Foundation Year,4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/aerospace-engineering-with-foundation-year-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",MEng (Hons),Civil Engineering,4 Years,128 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths A-level required. IB: 30 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/civil-engineering-meng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",MEng (Hons),Civil Engineering with Professional Placement,5 Years,128 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths A-level required. IB: 30 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/civil-engineering-with-professional-placement-meng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Electrical and Electronic Engineering,3 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/electrical-electronic-engineering-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Electrical and Electronic Engineering with Professional Placement,4 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/electrical-electronic-engineering-with-professional-placement-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Mechanical Engineering,3 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/mechanical-engineering-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BEng (Hons),Mechanical Engineering with Professional Placement,4 Years,112 UCAS Tariff points. GCSE Maths and English grade 4/C. Maths or Physics A-level preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/mechanical-engineering-with-professional-placement-beng-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Mathematics,3 Years,112 UCAS Tariff points. GCSE Maths grade 5/B and English grade 4/C. Maths A-level required. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/mathematics-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Chemistry,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/chemistry-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Forensic Science,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/forensic-science-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Forensic Science with Professional Placement,4 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/forensic-science-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Biomedical Science,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/biomedical-science-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Biomedical Science with Professional Placement,4 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/biomedical-science-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Biology,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/biology-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Food Science,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/food-science-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Nutrition,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/nutrition-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Climate Resilience and Artificial Intelligence,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/climate-resilience-and-artificial-intelligence-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Climate Resilience and Artificial Intelligence with Foundation Year,4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/climate-resilience-and-artificial-intelligence-with-foundation-year-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Climate Resilience and Artificial Intelligence with Professional Placement,4 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/climate-resilience-and-artificial-intelligence-with-professional-placement-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Geography,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/geography-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Environmental Science,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/environmental-science-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Architectural Technology,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/architectural-technology-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Architectural Technology with Foundation Year,4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/architectural-technology-with-foundation-year-bsc-hons
Kingston University London,Kingston upon Thames,"Faculty of Science, Engineering and Computing",BSc (Hons),Architectural Technology with Professional Placement,4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.kingston.ac.uk/study/undergraduate/architectural-technology-with-professional-placement-bsc-hons
