university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Middlesex University,London,Middlesex University Business School,BSc (Hons),Accounting and Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/accounting-and-finance-bsc-honours/
Middlesex University,London,Middlesex University Business School,BSc (Hons),Accounting and Finance with Foundation Year,4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/accounting-and-finance-with-foundation-year-bsc/
Middlesex University,London,Middlesex University Business School,BSc (Hons),Banking and Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/banking-and-finance-bsc-honours/
Middlesex University,London,Middlesex University Business School,BA (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/business-management-ba-honours/
Middlesex University,London,Middlesex University Business School,BA (Hons),Business Management with Foundation Year,4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/business-management-with-foundation-year-ba/
Middlesex University,London,Middlesex University Business School,BSc (Hons),Business Economics,3 Years,80 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/business-economics-bsc-honours/
Middlesex University,London,Middlesex University Business School,BA (Hons),Economics,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/economics-ba-honours/
Middlesex University,London,Middlesex University Business School,BA (Hons),Entrepreneurship,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/entrepreneurship-ba-honours/
Middlesex University,London,Middlesex University Business School,BA (Hons),Events Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/events-management-ba-honours/
Middlesex University,London,Middlesex University Business School,BSc (Hons),Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,200",29-Jan-2026 (UCAS),https://www.mdx.ac.uk/courses/undergraduate/finance-bsc-honours/
