university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University College London (UCL),London,Department of English Language and Literature,BA,English Language and Literature,3 years,AAA at A-level (incl. English). IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-language-and-literature-ba
University College London (UCL),London,Department of History,BA,History,3 years,AAA at A-level (incl. History). IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba
University College London (UCL),London,Department of Philosophy,BA,Philosophy,3 years,AAA at A-level. IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-ba
University College London (UCL),London,Department of Greek and Latin,BA,Classical Civilisation,3 years,AAA at A-level. IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-civilisation-ba
University College London (UCL),London,UCL School of Slavonic & East European Studies,BA,Russian and East European Studies,4 years,ABB at A-level. IB 34 with 655 at HL. Language ability required. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-studies-ba
University College London (UCL),London,Department of Hebrew and Jewish Studies,BA,Hebrew and Jewish Studies,3 years,ABB at A-level. IB 34 with 655 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-jewish-studies-ba
University College London (UCL),London,Department of History of Art,BA,History of Art,3 years,AAB at A-level. IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-art-ba
University College London (UCL),London,UCL School of Slavonic & East European Studies,BA,East European and Global History,3 years,ABB at A-level. IB 34 with 655 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/east-european-global-history-ba
University College London (UCL),London,Department of Economics,BSc (Econ),Economics,3 years,A*AA at A-level (A* in Maths). IB 39 with 7 in Maths at HL. TMUA test required. International: equivalent national quals,TMUA (required). IELTS 7.0 min 6.5 each,"• UK: 9790/yr
• International: 39200/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ
University College London (UCL),London,Department of Political Science,BSc,Political Science,3 years,AAA at A-level. IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/political-science-bsc
University College London (UCL),London,Department of Sociology,BSc,Sociology,3 years,AAB at A-level. IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-bsc
University College London (UCL),London,Department of Anthropology,BSc,Anthropology,3 years,AAB at A-level. IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc
University College London (UCL),London,Department of Geography,BSc,Geography,3 years,AAA at A-level (incl. Geography preferred). IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-bsc
University College London (UCL),London,Department of History,BA,History and Economics,3 years,A*AA at A-level (A* in Maths or Economics). IB 39 with 7 in relevant HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-economics-ba
University College London (UCL),London,Department of Political Science,BSc,Politics and International Relations,3 years,AAA at A-level. IB 38 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 32000/yr",14 Jan 2026 (UCAS),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-international-relations-bsc
