university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Bath,Bath,School of Management,BSc (Hons),Accounting and Finance BSc (Hons),3 years full-time (thin sandwich with placements in Years 2 and 3),A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2 - Management); Placement year: UK 1955, International 7960; Total UK (3yr): 29370; Total International (3yr): 85950",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/accounting-finance-bsc-hons-n420
University of Bath,Bath,School of Management,BSc (Hons),Business Administration BSc (Hons),4 years full-time (thin sandwich with placements in Years 2 and 3),A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2 - Management); Thin sandwich placement Year 2: UK 9790, International 21490; Total UK (4yr): 39160; Total International (4yr): 135840",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/business-administration-bsc-hons-n200
University of Bath,Bath,School of Management,BSc (Hons),International Management BSc (Hons),4 years full-time with placement,A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2 - Management); Placement: UK 14325, International 14325; Total UK (4yr): 44695; Total International (4yr): 100275",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/international-management-bsc-hons-n120
University of Bath,Bath,School of Management,BSc (Hons),International Management and Modern Languages BSc (Hons),4 years full-time with year abroad,A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2); Placement: UK 14325, International 14325",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/international-management-modern-languages-bsc-hons-n121
University of Bath,Bath,School of Management,BSc (Hons),Management BSc (Hons),4 years full-time (thin sandwich with placements in Years 2 and 3),A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2); Thin sandwich placement Year 2: UK 9790, International 21490",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/management-bsc-hons-n100
University of Bath,Bath,School of Management,BSc (Hons),Management with Marketing BSc (Hons),4 years full-time (thin sandwich with placements in Years 2 and 3),A-levels: ABB-AAA; IB: 32-38 points; BSc Business (thin sandwich) with placement in Years 2-3,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,"UK: 9790/yr; International: 28650/yr (Band 2); Thin sandwich placement Year 2: UK 9790, International 21490",29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/management-marketing-bsc-hons-n501
University of Bath,Bath,Department of Economics,BSc (Hons),BSc Economics BSc (Hons),3 years full-time,A-levels: AAB-A*AA including Mathematics; IB: 36-40 points,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 28650/yr (Band 2 - Economics); Total UK (3yr): 29370; Total International (3yr): 85950,29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/economics-bsc-hons-l100
University of Bath,Bath,Department of Economics,BSc (Hons),BSc Economics and Mathematics BSc (Hons),3 years full-time,A-levels: AAB-A*AA including Mathematics; IB: 36-40 points,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 28650/yr (Band 2 - Economics); Total UK (3yr): 29370; Total International (3yr): 85950,29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/economics-mathematics-bsc-hons-lg11
University of Bath,Bath,Department of Economics,BSc (Hons),BSc Economics and Politics BSc (Hons),3 years full-time,A-levels: AAB-A*AA including Mathematics; IB: 36-40 points,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 28650/yr (Band 2 - Economics); Total UK (3yr): 29370; Total International (3yr): 85950,29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/economics-politics-bsc-hons-ll12
University of Bath,Bath,"Department of Politics, Languages & International Studies",BA (Hons),Modern Languages and European Studies BA (Hons),4 years full-time with year abroad,A-levels: ABB-AAA or equivalent; IB: 32-38 points; Bath values placement experience highly,IELTS 6.5 (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 25400/yr (Band 1 - Humanities & Social Sciences); Total UK (3yr): 29370; Total International (3yr): 76200,29 January 2026 (UCAS deadline),https://www.bath.ac.uk/courses/2026/modern-languages-european-studies-ba-hons-rt90
