university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence and Data Science,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-and-data-science-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence and Data Science with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-data-science-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence in Criminology,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-criminology-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence in Digital Marketing,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-digital-marketing-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence in Healthcare,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-healthcare-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence in Human Resources,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-human-resources-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Artificial Intelligence in Psychology,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-psychology-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Biology,3 Years,112 UCAS points including a Science A-level. GCSE English and a Science grade 4/C.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/biology-zoology-courses/biology-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Biology with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/biology-zoology-courses/biology-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Zoology,3 Years,112 UCAS points including a Science A-level. GCSE English and a Science grade 4/C.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/biology-zoology-courses/zoology-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Zoology with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/biology-zoology-courses/zoology-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BA (Hons),Computer Games Modelling and Animation,3 Years,96 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-games-modelling-and-animation-ba-hons/
University of Derby,Derby,College of Science and Engineering,BA (Hons),Computer Games Modelling and Animation with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-games-modelling-animation-ba-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Computer Games Programming,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-games-programming-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Computer Games Programming with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-games-programming-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Computer Science,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-science-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Computer Science with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/computer-science-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Cyber Security,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/cyber-security-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Cyber Security with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/cyber-security-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Information Technology,3 Years,96 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/information-technology-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Information Technology with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/information-technology-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Software Engineering,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/software-engineering-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Software Engineering with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/computing-courses/software-engineering-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BEng (Hons),Civil Engineering,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/civil-engineering-construction-courses/civil-engineering-beng-hons/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Civil Engineering,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/civil-engineering-construction-courses/civil-engineering-bsc-hons/
University of Derby,Derby,College of Science and Engineering,BEng (Hons),Civil Engineering with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/civil-engineering-construction-courses/civil-engineering-beng-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Civil Engineering with Foundation Year,4 Years,Foundation Year entry. Below standard A-level requirements. GCSE English grade 3/D or above.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/civil-engineering-construction-courses/civil-engineering-bsc-hons-foundation/
University of Derby,Derby,College of Science and Engineering,BSc (Hons),Construction Management,3 Years,112 UCAS points from 2 A-levels. GCSE Maths and English grade 4/C.,IELTS 6.0 (min 5.5),"UK: £9,535/year | International: £16,900/year",29-Jan-2026,https://www.derby.ac.uk/undergraduate/civil-engineering-construction-courses/construction-management-bsc-hons/
