university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of East Anglia,Norwich,Norwich Business School,BA/BSc (Hons),Business Management BA (Hons),3 years; 4 years with placement/year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr (2025/26 rate); Year abroad/industry: International 5500/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/ba-business-management
University of East Anglia,Norwich,Norwich Business School,BA/BSc (Hons),Accounting and Finance BSc (Hons),3 years; 4 years with placement,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr (2025/26 rate); Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-finance
University of East Anglia,Norwich,Norwich Business School,BA/BSc (Hons),Marketing Management BA (Hons),3 years; 4 years with placement/year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr (2025/26 rate); Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/ba-marketing-management
University of East Anglia,Norwich,Norwich Business School,BA/BSc (Hons),International Business Management BA (Hons),3 years; 4 years with year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr (2025/26 rate); Year abroad: International 5500/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/ba-international-business-management
University of East Anglia,Norwich,Norwich Business School,BA/BSc (Hons),Human Resource Management BA (Hons),3 years; 4 years with placement,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr (2025/26 rate); Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/ba-human-resource-management
University of East Anglia,Norwich,School of Economics,BSc (Hons),Economics BSc (Hons),3 years; 4 years with year abroad/placement,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr; Year abroad/industry: International 5500/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/bsc-economics
University of East Anglia,Norwich,School of Economics,BSc (Hons),Economics and Econometrics BSc (Hons),3 years; 4 years with year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/bsc-economics-and-econometrics
University of East Anglia,Norwich,School of Economics,BSc (Hons),"Philosophy, Politics and Economics BSc (Hons)",3 years; 4 years with year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 79; PTE Academic 55,UK: 9790/yr; International: 22000/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/bsc-philosophy-politics-and-economics
University of East Anglia,Norwich,School of Law,LLB (Hons),Law LLB (Hons),3 years; 4 years with year abroad,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.5 overall (min 5.5 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 22000/yr; Year abroad/industry: International 5500/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/llb-law
University of East Anglia,Norwich,School of Law,LLB (Hons),Law with American Law LLB (Hons),4 years with year in the USA,A-levels: ABB or equivalent; IB: 32 points; 5 GCSEs grade 4/C including English and Mathematics; Foundation Year option available,IELTS 6.5 overall (min 5.5 in each component); TOEFL iBT 90; PTE Academic 61,UK: 9790/yr; International: 22000/yr; Year abroad/industry: International 5500/yr; Total UK (3yr): 29370; Total International (3yr): 66000,29 January 2026 (UCAS equal consideration deadline),https://www.uea.ac.uk/course/undergraduate/llb-law-with-american-law
