university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Birmingham,Birmingham,Birmingham Business School,BSc,Accounting and Finance,3 Years,AAB at A-Level including Mathematics. GCSE Maths and English at grade B/6 or above.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/accounting-and-finance-courses
University of Birmingham,Birmingham,School of Engineering,BEng,Aerospace Engineering,3 Years,AAB at A-Level including Mathematics and Physics. MEng option requires AAA.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/aerospace-engineering-courses
University of Birmingham,Birmingham,Department of African Studies and Anthropology,BA,Anthropology,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/anthropology-courses
University of Birmingham,Birmingham,School of Biosciences,BSc,Biochemistry,3 Years,"AAB at A-Level including Chemistry and one of Biology, Mathematics or Physics.",IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/biosciences-courses
University of Birmingham,Birmingham,School of Biosciences,BSc,Biological Sciences,3 Years,ABB at A-Level including Biology and one other science subject.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/biosciences-courses
University of Birmingham,Birmingham,College of Medical and Dental Sciences,BSc,Biomedical Science,3 Years,ABB at A-Level including Biology and Chemistry.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/biosciences-courses
University of Birmingham,Birmingham,Birmingham Business School,BSc,Business Management,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/business-and-management-courses
University of Birmingham,Birmingham,School of Chemical Engineering,BEng,Chemical Engineering,3 Years,AAB at A-Level including Chemistry and Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/chemical-engineering-courses
University of Birmingham,Birmingham,School of Chemistry,BSc,Chemistry,3 Years,ABB at A-Level including Chemistry and Mathematics or Physics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/chemistry-courses
University of Birmingham,Birmingham,School of Engineering,BEng,Civil Engineering,3 Years,AAB at A-Level including Mathematics. Physics or Further Maths advantageous.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/civil-engineering-courses
University of Birmingham,Birmingham,School of History and Cultures,BA,Classics and Ancient History,3 Years,ABB at A-Level. Latin or Greek useful but not required.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/classics-ancient-history-and-archaeology-courses
University of Birmingham,Birmingham,School of Computer Science,BSc,Computer Science,3 Years,AAB at A-Level including Mathematics. GCSE Maths at grade A/7 required.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/computer-science-courses
University of Birmingham,Birmingham,School of Dentistry,BDS,Dentistry,5 Years,"AAA at A-Level including Chemistry and Biology. UCAT required. GCSE Maths, English and Science at grade B/6.",UCAT; IELTS 7.0 overall (no band below 7.0),"UK: £9,250/year | International: £36,990/year",15-Oct-2025,https://www.birmingham.ac.uk/study/undergraduate/subjects/dentistry-courses
University of Birmingham,Birmingham,"School of Languages, Cultures, Art History and Music",BA,Drama and Theatre Arts,3 Years,ABB at A-Level. Audition required as part of the selection process.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/drama-courses
University of Birmingham,Birmingham,Department of Economics,BSc,Economics,3 Years,AAB at A-Level including Mathematics at grade A.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/economics-courses
University of Birmingham,Birmingham,School of Education,BSc,Education,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/education-courses
University of Birmingham,Birmingham,School of Engineering,BEng,Electronic and Electrical Engineering,3 Years,AAB at A-Level including Mathematics and Physics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/electronic-electrical-and-systems-engineering-courses
University of Birmingham,Birmingham,School of English,BA,English Language and Linguistics,3 Years,ABB at A-Level including English Language or English Literature.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/english-language-and-linguistics-courses
University of Birmingham,Birmingham,School of English,BA,English Literature,3 Years,ABB at A-Level including English Literature.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/english-literature-courses
