university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) Business Management,3 years; 4 years with placement,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagement/
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) Accounting and Finance,3 years; 4 years with placement,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/accountingandfinance/
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) Business Economics,3 years; 4 years with placement,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businesseconomics/
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) Marketing,3 years; 4 years with placement,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/marketing/
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) Human Resource Management,3 years; 4 years with placement,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/humanresourcemanagement/
Keele University,"Keele, Staffordshire",Keele Business School,BA (Hons),BA (Hons) International Business,3 years; 4 years with placement/year abroad,A-levels: BBB (120 UCAS points); IB: 30 points; BTEC: DDM; GCSEs: English Language and Mathematics at grade 4/C; Foundation Year entry available for lower grades,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,"UK Home: 9790/yr; International: 18200/yr; Placement year: UK 1958, International 3640; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600",29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/internationalbusiness/
Keele University,"Keele, Staffordshire",School of Law,LLB (Hons),LLB (Hons) Law,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English Language grade 5/B and Maths grade 4/C; any A-level subjects accepted,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,UK Home: 9790/yr; International: 18200/yr; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600,29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/law/
Keele University,"Keele, Staffordshire",School of Law,LLB (Hons),LLB (Hons) Law with Criminology,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English Language grade 5/B and Maths grade 4/C; any A-level subjects accepted,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,UK Home: 9790/yr; International: 18200/yr; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600,29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/lawwithcriminology/
Keele University,"Keele, Staffordshire",School of Law,LLB (Hons),LLB (Hons) Law with Politics,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English Language grade 5/B and Maths grade 4/C; any A-level subjects accepted,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,UK Home: 9790/yr; International: 18200/yr; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600,29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/lawwithpolitics/
Keele University,"Keele, Staffordshire",School of Law,LLB (Hons),LLB (Hons) Law with International Relations,3 years,A-levels: ABB (120 UCAS points); IB: 30 points; GCSEs: English Language grade 5/B and Maths grade 4/C; any A-level subjects accepted,IELTS 6.0 (min 5.5 in each component); TOEFL iBT 80; PTE Academic 54,UK Home: 9790/yr; International: 18200/yr; Total UK (3yr full-time): 29370; Total International (3yr full-time): 54600,29 January 2026,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/lawwithinternationalrelations/
